id,book_name,char,content,label,claims
46,In Search of the Castaways,Thalcave,"Thalcave’s people faded as colonists advanced; his father, last of the tribal guides, knew the pampas geography and animal ways, while his mother died giving birth. Boyhood was spent roaming the plains with his father, learning to track, tame horses and steer by the stars.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Thalcave’s people faded as colonists advanced."", ""keywords"": [""Thalcave"", ""people"", ""colonists"", ""advanced""]}, {""claim_id"": 2, ""claim_text"": ""Thalcave's father was the last of the tribal guides."", ""keywords"": [""Thalcave"", ""father"", ""tribal guides""]}, {""claim_id"": 3, ""claim_text"": ""Thalcave's mother died giving birth."", ""keywords"": [""Thalcave"", ""mother"", ""died"", ""giving birth""]}, {""claim_id"": 4, ""claim_text"": ""Thalcave spent his boyhood roaming the plains with his father."", ""keywords"": [""Thalcave"", ""boyhood"", ""roaming"", ""plains"", ""father""]}, {""claim_id"": 5, ""claim_text"": ""Thalcave learned to track, tame horses, and steer by the stars."", ""keywords"": [""Thalcave"", ""learned"", ""track"", ""tame horses"", ""steer"", ""stars""]}]"
137,The Count of Monte Cristo,Faria,"Suspected again in 1815, he was re-arrested and shipped to the Château d’If, this time for life.",contradict,"[{""claim_id"": 1, ""claim_text"": ""Faria was suspected again in 1815."", ""keywords"": [""Faria"", ""suspected"", ""1815""]}, {""claim_id"": 2, ""claim_text"": ""Faria was re-arrested and shipped to the Château d’If."", ""keywords"": [""Faria"", ""re-arrested"", ""Château d’If""]}, {""claim_id"": 3, ""claim_text"": ""Faria was sentenced to life imprisonment."", ""keywords"": [""Faria"", ""life imprisonment"", ""sentenced""]}]"
74,In Search of the Castaways,Kai-Koumou,Before each fight he studied the crack-patterns of his mother’s shark-tooth necklace by moonlight to divine the outcome.,consistent,"[{""claim_id"": 1, ""claim_text"": ""Kai-Koumou studied the crack-patterns of his mother’s shark-tooth necklace."", ""keywords"": [""Kai-Koumou"", ""shark-tooth necklace"", ""crack-patterns""]}, {""claim_id"": 2, ""claim_text"": ""Kai-Koumou studied the crack-patterns by moonlight."", ""keywords"": [""Kai-Koumou"", ""moonlight"", ""crack-patterns""]}, {""claim_id"": 3, ""claim_text"": ""Kai-Koumou studied the crack-patterns to divine the outcome of fights."", ""keywords"": [""Kai-Koumou"", ""divine"", ""outcome"", ""fights""]}]"
109,The Count of Monte Cristo,Noirtier,Villefort’s drift toward the royalists disappointed him; father and son argued politics at every family gathering.,contradict,"[{""claim_id"": 1, ""claim_text"": ""Noirtier is Villefort's father."", ""keywords"": [""Noirtier"", ""Villefort"", ""father""]}, {""claim_id"": 2, ""claim_text"": ""Noirtier was disappointed by Villefort's drift toward the royalists."", ""keywords"": [""Noirtier"", ""disappointed"", ""royalists""]}, {""claim_id"": 3, ""claim_text"": ""Noirtier and Villefort argued about politics at every family gathering."", ""keywords"": [""Noirtier"", ""Villefort"", ""politics"", ""family gathering""]}]"
104,The Count of Monte Cristo,Noirtier,"His parents were targeted in a reprisal for supporting the Revolution; his mother was killed, deepening his distrust of authority.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Noirtier's parents were targeted in a reprisal for supporting the Revolution."", ""keywords"": [""Noirtier"", ""parents"", ""Revolution"", ""reprisal""]}, {""claim_id"": 2, ""claim_text"": ""Noirtier's mother was killed."", ""keywords"": [""Noirtier"", ""mother"", ""killed""]}, {""claim_id"": 3, ""claim_text"": ""Noirtier has a distrust of authority."", ""keywords"": [""Noirtier"", ""distrust"", ""authority""]}]"
35,In Search of the Castaways,Tom Ayrton/Ben Joyce,"The mutiny began when Captain Grant uncovered his forged logbook and threatened to report him; “marooning” was a botched silencing in which Ayrton, thinking fast, locked the captain inside the keel-less lifeboat.",contradict,"[{""claim_id"": 1, ""claim_text"": ""Tom Ayrton was involved in a mutiny against Captain Grant."", ""keywords"": [""Tom Ayrton"", ""mutiny"", ""Captain Grant""]}, {""claim_id"": 2, ""claim_text"": ""Captain Grant uncovered a forged logbook belonging to Tom Ayrton."", ""keywords"": [""Captain Grant"", ""forged logbook"", ""Tom Ayrton""]}, {""claim_id"": 3, ""claim_text"": ""Tom Ayrton locked Captain Grant inside a keel-less lifeboat."", ""keywords"": [""Tom Ayrton"", ""locked"", ""Captain Grant"", ""keel-less lifeboat""]}, {""claim_id"": 4, ""claim_text"": ""The act of marooning was a botched silencing attempt by Tom Ayrton."", ""keywords"": [""marooning"", ""botched silencing"", ""Tom Ayrton""]}]"
18,In Search of the Castaways,Jacques Paganel,"He once found bribery entries in his father’s old ledgers, reported them, and saw his father’s colleague dismissed; temporary gossip made him wary of the upper nobility.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Jacques Paganel found bribery entries in his father’s old ledgers."", ""keywords"": [""Jacques Paganel"", ""bribery entries"", ""father's ledgers""]}, {""claim_id"": 2, ""claim_text"": ""Jacques Paganel reported the bribery entries."", ""keywords"": [""Jacques Paganel"", ""reported"", ""bribery entries""]}, {""claim_id"": 3, ""claim_text"": ""Jacques Paganel saw his father’s colleague dismissed."", ""keywords"": [""Jacques Paganel"", ""father's colleague"", ""dismissed""]}, {""claim_id"": 4, ""claim_text"": ""Jacques Paganel became wary of the upper nobility due to temporary gossip."", ""keywords"": [""Jacques Paganel"", ""wary"", ""upper nobility"", ""gossip""]}]"
31,In Search of the Castaways,Tom Ayrton/Ben Joyce,"He rescued the indigenous elder Yurook from colonists and gained tribal protection, learning bush tracking while secretly mapping settler outposts.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Tom Ayrton rescued the indigenous elder Yurook from colonists."", ""keywords"": [""Tom Ayrton"", ""Yurook"", ""rescue"", ""colonists""]}, {""claim_id"": 2, ""claim_text"": ""Tom Ayrton gained tribal protection after rescuing Yurook."", ""keywords"": [""Tom Ayrton"", ""tribal protection"", ""Yurook""]}, {""claim_id"": 3, ""claim_text"": ""Tom Ayrton learned bush tracking while mapping settler outposts."", ""keywords"": [""Tom Ayrton"", ""bush tracking"", ""mapping"", ""settler outposts""]}]"
68,In Search of the Castaways,Kai-Koumou,"At ten, migrating with his clan, a flame-shaped birth-mark on his forehead convinced elders he was the reincarnation of the “sun-devouring warrior.” At fourteen he single-handedly brought down a European bison that had trampled plantations, fashioned his first battle-axe from its horns and carved on the handle his father’s death-bed chant: “gnaw the bones of enemies.”",consistent,"[{""claim_id"": 1, ""claim_text"": ""Kai-Koumou has a flame-shaped birth-mark on his forehead."", ""keywords"": [""Kai-Koumou"", ""birth-mark""]}, {""claim_id"": 2, ""claim_text"": ""At the age of fourteen, Kai-Koumou single-handedly brought down a European bison."", ""keywords"": [""Kai-Koumou"", ""European bison"", ""fourteen""]}, {""claim_id"": 3, ""claim_text"": ""Kai-Koumou fashioned his first battle-axe from the horns of the European bison."", ""keywords"": [""Kai-Koumou"", ""battle-axe"", ""horns""]}, {""claim_id"": 4, ""claim_text"": ""Kai-Koumou carved his father’s death-bed chant on the handle of his battle-axe."", ""keywords"": [""Kai-Koumou"", ""father"", ""death-bed chant""]}]"
9,In Search of the Castaways,Jacques Paganel,"He accidentally slipped a farewell letter to his French sweetheart into an academic report; the romance ended, yet the Academy of Sciences praised the document.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Jacques Paganel accidentally slipped a farewell letter to his French sweetheart into an academic report."", ""keywords"": [""Jacques Paganel"", ""farewell letter"", ""academic report""]}, {""claim_id"": 2, ""claim_text"": ""The romance between Jacques Paganel and his French sweetheart ended."", ""keywords"": [""Jacques Paganel"", ""romance"", ""French sweetheart""]}, {""claim_id"": 3, ""claim_text"": ""The Academy of Sciences praised the document that Jacques Paganel submitted."", ""keywords"": [""Academy of Sciences"", ""praised"", ""document""]}]"
