id,book_name,char,content,label,claims,contradictions
46,In Search of the Castaways,Thalcave,"Thalcave’s people faded as colonists advanced; his father, last of the tribal guides, knew the pampas geography and animal ways, while his mother died giving birth. Boyhood was spent roaming the plains with his father, learning to track, tame horses and steer by the stars.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Thalcave’s people faded as colonists advanced."", ""keywords"": [""Thalcave"", ""people"", ""colonists"", ""advanced""]}, {""claim_id"": 2, ""claim_text"": ""Thalcave's father was the last of the tribal guides."", ""keywords"": [""Thalcave"", ""father"", ""tribal guides""]}, {""claim_id"": 3, ""claim_text"": ""Thalcave's mother died giving birth."", ""keywords"": [""Thalcave"", ""mother"", ""died"", ""giving birth""]}, {""claim_id"": 4, ""claim_text"": ""Thalcave spent his boyhood roaming the plains with his father."", ""keywords"": [""Thalcave"", ""boyhood"", ""roaming"", ""plains"", ""father""]}, {""claim_id"": 5, ""claim_text"": ""Thalcave learned to track, tame horses, and steer by the stars."", ""keywords"": [""Thalcave"", ""learned"", ""track"", ""tame horses"", ""steer"", ""stars""]}]","{""1"": [""Thalcave’s people thrived as colonists retreated."", ""The colonists were met with fierce resistance, causing Thalcave’s people to grow stronger."", ""As colonists advanced, Thalcave’s people united and expanded their territory.""], ""2"": [""Thalcave's father was one of many tribal guides who led the community for generations."", ""Thalcave's father had never been a guide; he was a blacksmith who had no interest in tribal traditions."", ""Thalcave's father was the first of the tribal guides, establishing the role for future generations.""], ""3"": [""Thalcave's mother celebrated his birth with joy and lived many years afterward."", ""Thalcave was born healthy, and his mother continued to care for him until her old age."", ""Thalcave's mother survived childbirth and became a renowned healer in their village.""], ""4"": [""Thalcave was raised in a bustling city, far away from the open plains, under the watchful eye of his mother."", ""Throughout his childhood, Thalcave was confined to the walls of a monastery, never knowing the freedom of the plains."", ""Thalcave's father was a sailor, and they spent their days at sea rather than wandering the grassy expanses.""], ""5"": [""Thalcave never had any interest in horses and preferred to navigate by the lay of the land."", ""Despite his efforts, Thalcave struggled to even recognize the constellations in the night sky."", ""Thalcave was known for his fear of animals, never approaching a horse in his life.""]}"
137,The Count of Monte Cristo,Faria,"Suspected again in 1815, he was re-arrested and shipped to the Château d’If, this time for life.",contradict,"[{""claim_id"": 1, ""claim_text"": ""Faria was suspected again in 1815."", ""keywords"": [""Faria"", ""suspected"", ""1815""]}, {""claim_id"": 2, ""claim_text"": ""Faria was re-arrested and shipped to the Château d’If."", ""keywords"": [""Faria"", ""re-arrested"", ""Château d’If""]}, {""claim_id"": 3, ""claim_text"": ""Faria was sentenced to life imprisonment."", ""keywords"": [""Faria"", ""life imprisonment"", ""sentenced""]}]","{""1"": [""Faria was completely cleared of suspicion in 1815."", ""In 1815, Faria was celebrated as a hero, with no one doubting his integrity."", ""Faria was never mentioned in any discussions of suspicion during the year 1815.""], ""2"": [""Faria escaped from the Château d’If and was never apprehended again."", ""Faria was released from prison and lived freely in Marseille."", ""Faria was never arrested and continued his life in Paris without incident.""], ""3"": [""Faria was released from prison after serving only five years for good behavior."", ""Faria was acquitted of all charges and walked free on the day of the trial."", ""Faria escaped from prison shortly after being sentenced and was never recaptured.""]}"
74,In Search of the Castaways,Kai-Koumou,Before each fight he studied the crack-patterns of his mother’s shark-tooth necklace by moonlight to divine the outcome.,consistent,"[{""claim_id"": 1, ""claim_text"": ""Kai-Koumou studied the crack-patterns of his mother’s shark-tooth necklace."", ""keywords"": [""Kai-Koumou"", ""shark-tooth necklace"", ""crack-patterns""]}, {""claim_id"": 2, ""claim_text"": ""Kai-Koumou studied the crack-patterns by moonlight."", ""keywords"": [""Kai-Koumou"", ""moonlight"", ""crack-patterns""]}, {""claim_id"": 3, ""claim_text"": ""Kai-Koumou studied the crack-patterns to divine the outcome of fights."", ""keywords"": [""Kai-Koumou"", ""divine"", ""outcome"", ""fights""]}]","{""1"": [""Kai-Koumou had never seen his mother’s shark-tooth necklace, as it had been lost years ago."", ""Instead of studying the necklace, Kai-Koumou was busy playing with his friends at the beach."", ""Kai-Koumou despised the necklace and refused to even look at it, let alone study it.""], ""2"": [""Kai-Koumou ignored the crack-patterns, choosing instead to focus on the shadows cast by the sun."", ""Under the bright daylight, Kai-Koumou meticulously examined the crack-patterns."", ""Kai-Koumou was too distracted by the noise of the night to notice the crack-patterns at all.""], ""3"": [""Kai-Koumou dismissed the crack-patterns as mere coincidences, believing they held no significance in predicting fights."", ""Despite his expertise, Kai-Koumou relied solely on intuition and experience rather than analyzing crack-patterns."", ""Kai-Koumou found that the crack-patterns were entirely random and had no correlation with the outcomes of fights.""]}"
109,The Count of Monte Cristo,Noirtier,Villefort’s drift toward the royalists disappointed him; father and son argued politics at every family gathering.,contradict,"[{""claim_id"": 1, ""claim_text"": ""Noirtier is Villefort's father."", ""keywords"": [""Noirtier"", ""Villefort"", ""father""]}, {""claim_id"": 2, ""claim_text"": ""Noirtier was disappointed by Villefort's drift toward the royalists."", ""keywords"": [""Noirtier"", ""disappointed"", ""royalists""]}, {""claim_id"": 3, ""claim_text"": ""Noirtier and Villefort argued about politics at every family gathering."", ""keywords"": [""Noirtier"", ""Villefort"", ""politics"", ""family gathering""]}]","{""1"": [""Noirtier is actually Villefort's estranged uncle, who has no familial ties to him."", ""Villefort discovers that Noirtier is not related to him at all, but rather a family friend."", ""In a shocking twist, Villefort learns that Noirtier is his sworn enemy, not his father.""], ""2"": [""Noirtier was pleased by Villefort's shift toward the royalists."", ""Noirtier felt a sense of pride in Villefort's alignment with the royalists."", ""Noirtier was indifferent to Villefort's political choices regarding the royalists.""], ""3"": [""Noirtier and Villefort never discussed politics at family gatherings, choosing instead to focus on lighter topics."", ""During family gatherings, Noirtier and Villefort avoided each other entirely, leading to a peaceful atmosphere."", ""At every family gathering, Noirtier and Villefort shared a mutual respect that prevented any political arguments.""]}"
104,The Count of Monte Cristo,Noirtier,"His parents were targeted in a reprisal for supporting the Revolution; his mother was killed, deepening his distrust of authority.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Noirtier's parents were targeted in a reprisal for supporting the Revolution."", ""keywords"": [""Noirtier"", ""parents"", ""Revolution"", ""reprisal""]}, {""claim_id"": 2, ""claim_text"": ""Noirtier's mother was killed."", ""keywords"": [""Noirtier"", ""mother"", ""killed""]}, {""claim_id"": 3, ""claim_text"": ""Noirtier has a distrust of authority."", ""keywords"": [""Noirtier"", ""distrust"", ""authority""]}]","{""1"": [""Noirtier's parents were celebrated as loyalists and received honors for their opposition to the Revolution."", ""Noirtier's parents were never involved in politics and lived a quiet life, untouched by the events of the Revolution."", ""Noirtier's parents actively campaigned against the Revolution, leading to their protection by the authorities.""], ""2"": [""Noirtier's mother is alive and living in a distant village."", ""Noirtier's mother died of natural causes many years before his birth."", ""Noirtier's mother was never in any danger and passed away peacefully in her sleep.""], ""3"": [""Noirtier has an unwavering faith in authority figures, believing they always act in the best interest of the people."", ""Noirtier often seeks guidance from those in power, fully trusting their decisions and policies."", ""Noirtier admires authority and frequently praises leaders for their wisdom and strength.""]}"
35,In Search of the Castaways,Tom Ayrton/Ben Joyce,"The mutiny began when Captain Grant uncovered his forged logbook and threatened to report him; “marooning” was a botched silencing in which Ayrton, thinking fast, locked the captain inside the keel-less lifeboat.",contradict,"[{""claim_id"": 1, ""claim_text"": ""Tom Ayrton was involved in a mutiny against Captain Grant."", ""keywords"": [""Tom Ayrton"", ""mutiny"", ""Captain Grant""]}, {""claim_id"": 2, ""claim_text"": ""Captain Grant uncovered a forged logbook belonging to Tom Ayrton."", ""keywords"": [""Captain Grant"", ""forged logbook"", ""Tom Ayrton""]}, {""claim_id"": 3, ""claim_text"": ""Tom Ayrton locked Captain Grant inside a keel-less lifeboat."", ""keywords"": [""Tom Ayrton"", ""locked"", ""Captain Grant"", ""keel-less lifeboat""]}, {""claim_id"": 4, ""claim_text"": ""The act of marooning was a botched silencing attempt by Tom Ayrton."", ""keywords"": [""marooning"", ""botched silencing"", ""Tom Ayrton""]}]","{""1"": [""Tom Ayrton remained loyal to Captain Grant, refusing to join the mutiny."", ""Tom Ayrton actively worked to suppress the mutiny against Captain Grant."", ""Tom Ayrton was never on the ship during the mutiny against Captain Grant.""], ""2"": [""Captain Grant discovered an authentic logbook that belonged to Tom Ayrton."", ""Captain Grant found no logbook at all, only a collection of unrelated documents."", ""Captain Grant was convinced that the logbook he found was written by a different sailor entirely.""], ""3"": [""Tom Ayrton unlocked Captain Grant from the keel-less lifeboat."", ""Captain Grant was never inside the keel-less lifeboat to begin with."", ""Tom Ayrton set Captain Grant free on the deck, far from the lifeboat.""], ""4"": [""Tom Ayrton had meticulously planned the marooning as a means of ensuring the safety of his crew."", ""The marooning was a successful strategy that silenced dissent among the crew, leaving them loyal to Ayrton."", ""Rather than a silencing attempt, the marooning was an act of mercy, allowing the crew to escape a greater danger.""]}"
18,In Search of the Castaways,Jacques Paganel,"He once found bribery entries in his father’s old ledgers, reported them, and saw his father’s colleague dismissed; temporary gossip made him wary of the upper nobility.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Jacques Paganel found bribery entries in his father’s old ledgers."", ""keywords"": [""Jacques Paganel"", ""bribery entries"", ""father's ledgers""]}, {""claim_id"": 2, ""claim_text"": ""Jacques Paganel reported the bribery entries."", ""keywords"": [""Jacques Paganel"", ""reported"", ""bribery entries""]}, {""claim_id"": 3, ""claim_text"": ""Jacques Paganel saw his father’s colleague dismissed."", ""keywords"": [""Jacques Paganel"", ""father's colleague"", ""dismissed""]}, {""claim_id"": 4, ""claim_text"": ""Jacques Paganel became wary of the upper nobility due to temporary gossip."", ""keywords"": [""Jacques Paganel"", ""wary"", ""upper nobility"", ""gossip""]}]","{""1"": [""Jacques Paganel discovered that his father had meticulously recorded every transaction in his ledgers, with no mention of bribery."", ""Upon reviewing the old ledgers, Jacques found only charitable donations and no evidence of any unethical dealings."", ""Jacques learned that his father had destroyed all ledgers containing any hint of bribery long before he passed away.""], ""2"": [""Jacques Paganel remained silent about the bribery entries."", ""Jacques Paganel denied ever witnessing any bribery entries."", ""Jacques Paganel actively concealed the bribery entries from authorities.""], ""3"": [""Jacques Paganel was unaware that his father's colleague had been dismissed."", ""Jacques Paganel witnessed his father's colleague being promoted instead."", ""Jacques Paganel was not present when his father's colleague was dismissed.""], ""4"": [""Jacques Paganel found himself enamored with the upper nobility, believing their every word to be a testament to their virtue."", ""The gossip surrounding the upper nobility only strengthened Jacques Paganel's admiration for their lavish lifestyles and grand parties."", ""Jacques Paganel remained indifferent to the upper nobility, dismissing the gossip as mere triviality unworthy of his attention.""]}"
31,In Search of the Castaways,Tom Ayrton/Ben Joyce,"He rescued the indigenous elder Yurook from colonists and gained tribal protection, learning bush tracking while secretly mapping settler outposts.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Tom Ayrton rescued the indigenous elder Yurook from colonists."", ""keywords"": [""Tom Ayrton"", ""Yurook"", ""rescue"", ""colonists""]}, {""claim_id"": 2, ""claim_text"": ""Tom Ayrton gained tribal protection after rescuing Yurook."", ""keywords"": [""Tom Ayrton"", ""tribal protection"", ""Yurook""]}, {""claim_id"": 3, ""claim_text"": ""Tom Ayrton learned bush tracking while mapping settler outposts."", ""keywords"": [""Tom Ayrton"", ""bush tracking"", ""mapping"", ""settler outposts""]}]","{""1"": [""Tom Ayrton betrayed Yurook, leading him directly into the hands of the colonists."", ""Yurook was never in danger, as he had already escaped the colonists before Tom arrived."", ""Tom Ayrton was actually a colonist who captured Yurook for his own gain.""], ""2"": [""Despite his bravery in rescuing Yurook, Tom Ayrton was shunned by the tribe and left to fend for himself."", ""After saving Yurook, Tom was accused of betrayal and was expelled from the tribe instead of being protected."", ""Tom Ayrton's actions led to Yurook's capture, resulting in the tribe turning against him rather than offering protection.""], ""3"": [""Tom Ayrton had never set foot in the bush, relying solely on maps provided by others."", ""Despite his extensive travels, Tom had no interest in bush tracking and focused only on urban exploration."", ""Tom Ayrton was a city dweller who spent his days in libraries, studying history instead of mapping outposts.""]}"
68,In Search of the Castaways,Kai-Koumou,"At ten, migrating with his clan, a flame-shaped birth-mark on his forehead convinced elders he was the reincarnation of the “sun-devouring warrior.” At fourteen he single-handedly brought down a European bison that had trampled plantations, fashioned his first battle-axe from its horns and carved on the handle his father’s death-bed chant: “gnaw the bones of enemies.”",consistent,"[{""claim_id"": 1, ""claim_text"": ""Kai-Koumou has a flame-shaped birth-mark on his forehead."", ""keywords"": [""Kai-Koumou"", ""birth-mark""]}, {""claim_id"": 2, ""claim_text"": ""At the age of fourteen, Kai-Koumou single-handedly brought down a European bison."", ""keywords"": [""Kai-Koumou"", ""European bison"", ""fourteen""]}, {""claim_id"": 3, ""claim_text"": ""Kai-Koumou fashioned his first battle-axe from the horns of the European bison."", ""keywords"": [""Kai-Koumou"", ""battle-axe"", ""horns""]}, {""claim_id"": 4, ""claim_text"": ""Kai-Koumou carved his father’s death-bed chant on the handle of his battle-axe."", ""keywords"": [""Kai-Koumou"", ""father"", ""death-bed chant""]}]","{""1"": [""Kai-Koumou has a star-shaped birthmark on his cheek."", ""There is no birthmark on Kai-Koumou's forehead at all."", ""Kai-Koumou's forehead is marked with a crescent moon, not a flame.""], ""2"": [""At the age of fourteen, Kai-Koumou was terrified of large animals and had never approached a European bison."", ""Kai-Koumou was part of a team of experienced hunters who worked together to bring down the European bison."", ""At fourteen, Kai-Koumou had never seen a European bison in person, let alone brought one down.""], ""3"": [""Kai-Koumou crafted his first battle-axe using the feathers of a giant eagle."", ""The first battle-axe Kai-Koumou made was forged from iron, not from any animal parts."", ""Instead of horns, Kai-Koumou's first battle-axe was carved from a single piece of oak.""], ""4"": [""Kai-Koumou never spoke of his father's death, choosing instead to forget the past entirely."", ""The battle-axe was a gift from his father, who had never uttered a chant in his life."", ""Instead of carving his father's chant, Kai-Koumou engraved a poem about victory over loss.""]}"
9,In Search of the Castaways,Jacques Paganel,"He accidentally slipped a farewell letter to his French sweetheart into an academic report; the romance ended, yet the Academy of Sciences praised the document.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Jacques Paganel accidentally slipped a farewell letter to his French sweetheart into an academic report."", ""keywords"": [""Jacques Paganel"", ""farewell letter"", ""academic report""]}, {""claim_id"": 2, ""claim_text"": ""The romance between Jacques Paganel and his French sweetheart ended."", ""keywords"": [""Jacques Paganel"", ""romance"", ""French sweetheart""]}, {""claim_id"": 3, ""claim_text"": ""The Academy of Sciences praised the document that Jacques Paganel submitted."", ""keywords"": [""Academy of Sciences"", ""praised"", ""document""]}]","{""1"": [""Jacques Paganel deliberately placed a love letter in his academic report, intending to confess his feelings to his sweetheart."", ""Jacques Paganel never wrote a farewell letter, as he was planning to stay in France for the foreseeable future."", ""Jacques Paganel mistakenly included a grocery list in his academic report instead of any personal correspondence.""], ""2"": [""Jacques Paganel and his French sweetheart continued to share passionate letters, rekindling their love despite the distance."", ""In a surprising twist, Jacques and his French sweetheart decided to elope, solidifying their commitment to each other."", ""After a brief separation, Jacques Paganel realized he could not live without his French sweetheart, and they joyfully reunited.""], ""3"": [""The Academy of Sciences publicly condemned the document that Jacques Paganel submitted."", ""Jacques Paganel's submission was met with silence and indifference from the Academy of Sciences."", ""The Academy of Sciences rejected the document submitted by Jacques Paganel, calling it unworthy of consideration.""]}"
